incident_id,timestamp,language,title,summary,url,primary_location,all_locations,states,crime_type,ml_confidence,semantic_score,action_score,severity_score,final_confidence,confidence_level,duplicate_status,incident_cluster,hash
WCI-08C05D38,2026-05-08 23:12:43.856812,en,"Kerala: Forest officials bust wildlife trafficking gang trying to sell tiger skin, claws, teeth; 7 held - The Times of India","<a href=""https://news.google.com/rss/articles/CBMi-wFBVV95cUxQQURlZEpod0otOEIwUGZKalRTMDB5WlJWYXlVSEF2YUkzYWxlME1laGl0ZDIwZXdsY3lRSEpqVFhmWmd6M3JQMXI3R2xlbHdua1FuVGw0RUtnZE9jYlNjSWdGUWFLMkg3cnJpYUhEenBENkRsUlNEMDR6ejFVbUFSd0c1WHNLTzdzQVJ5QmluY281Q3BFWHZFMF9XWHFyc0lkc2lTRVRmNnExZE85WW9VMGxFUG9xRDN3MlRtMFRwcXZkSWxGOGM2QVM4bmZ4TnEzMGpEb3N1OUZVZTRTU0ZNRWtpYmdYNnM1TUppZm1mWVR0eGNMR1lkbThmUdIBgAJBVV95cUxNQ3c2dTZyTjdsRlN4NEhrVE5FMWVxRVdWM3lQeExITkpHMTdWZ2lQMlQxLTVMVTR1R3MtbVNkYUhSRW5vb2lzSXZzNVdDTFhqZldacVhYMk9xcm5tbWVfR3E0U1lKSmloQ3c1SGtxWG5uVTF6MGhRRnJnWGtBMzBwSC0zelphX2JlSFZ0d3ZoeEhXOXAtVHBZRnAxUUh1VjY2YkJUbHdwSUxWZlNVS0pPTS1GbUhlTDRlVzk4WDNVOWpfMTlBWmdaUXVkVXhyWHJ4MVRnaVgzV2czZk5mbDE3OFI3SnQ3UHlyYXZHd05jdFExVFpySmEzUXVyTk1yRjdk?oc=5"" target=""_blank"">Kerala: Forest officials bust wildlife trafficking gang trying to sell tiger skin, claws, teeth; 7 held</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Times of India</font>",https://news.google.com/rss/articles/CBMi-wFBVV95cUxQQURlZEpod0otOEIwUGZKalRTMDB5WlJWYXlVSEF2YUkzYWxlME1laGl0ZDIwZXdsY3lRSEpqVFhmWmd6M3JQMXI3R2xlbHdua1FuVGw0RUtnZE9jYlNjSWdGUWFLMkg3cnJpYUhEenBENkRsUlNEMDR6ejFVbUFSd0c1WHNLTzdzQVJ5QmluY281Q3BFWHZFMF9XWHFyc0lkc2lTRVRmNnExZE85WW9VMGxFUG9xRDN3MlRtMFRwcXZkSWxGOGM2QVM4bmZ4TnEzMGpEb3N1OUZVZTRTU0ZNRWtpYmdYNnM1TUppZm1mWVR0eGNMR1lkbThmUdIBgAJBVV95cUxNQ3c2dTZyTjdsRlN4NEhrVE5FMWVxRVdWM3lQeExITkpHMTdWZ2lQMlQxLTVMVTR1R3MtbVNkYUhSRW5vb2lzSXZzNVdDTFhqZldacVhYMk9xcm5tbWVfR3E0U1lKSmloQ3c1SGtxWG5uVTF6MGhRRnJnWGtBMzBwSC0zelphX2JlSFZ0d3ZoeEhXOXAtVHBZRnAxUUh1VjY2YkJUbHdwSUxWZlNVS0pPTS1GbUhlTDRlVzk4WDNVOWpfMTlBWmdaUXVkVXhyWHJ4MVRnaVgzV2czZk5mbDE3OFI3SnQ3UHlyYXZHd05jdFExVFpySmEzUXVyTk1yRjdk?oc=5,india kerala,"['india kerala', 'india', 'kerala', 'kerala: forest officials bust wildlife trafficking gang trying to sell tiger skin, claws, teeth; held the times of india kerala: forest officials bust wildlife trafficking gang trying to sell tiger skin, claws, teeth; held nbsp; the times of india']",[],Trafficking,73.34,60.94,0,0,63.95,HIGH,UNIQUE,TRA-IND-20260508,-8455928168869415840
WCI-85B9EC8B,2026-05-08 23:13:53.254238,en,WCCB & MP Tiger Strike Force Joint Operation Arrested International Wildlife Trafficker in India After INTERPOL Red Notice Alert - Indianmasterminds,"<a href=""https://news.google.com/rss/articles/CBMirAFBVV95cUxOdlh3SS1JSVlzS01DVGluaDB1YU1FOXpOQVR5TG1hc0toN3Foc0VDcWl6Y1Q4TG5RcnBvNnY2d2RqR05BR09UalZ2cGpfQzh2eG9wc3Q4SUNSVzBIam10N0M4bDkzTXNXR1VtblNCS3NMV1hrS1N2b3U1M0czQUZ1WnZReXl1N0ZCcWtkYm4yVlZOX0dXRlU2NE5Db1duN25xc1NNelhLcVZYbzVl?oc=5"" target=""_blank"">WCCB & MP Tiger Strike Force Joint Operation Arrested International Wildlife Trafficker in India After INTERPOL Red Notice Alert</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Indianmasterminds</font>",https://news.google.com/rss/articles/CBMirAFBVV95cUxOdlh3SS1JSVlzS01DVGluaDB1YU1FOXpOQVR5TG1hc0toN3Foc0VDcWl6Y1Q4TG5RcnBvNnY2d2RqR05BR09UalZ2cGpfQzh2eG9wc3Q4SUNSVzBIam10N0M4bDkzTXNXR1VtblNCS3NMV1hrS1N2b3U1M0czQUZ1WnZReXl1N0ZCcWtkYm4yVlZOX0dXRlU2NE5Db1duN25xc1NNelhLcVZYbzVl?oc=5,india,['india'],[],Wildlife Crime,68.6,60.09,0,0,62.04,HIGH,UNIQUE,WIL-IND-20260508,-946449911449275355
WCI-911D783C,2026-05-08 23:30:49.768750,en,"Jamshedpur Wildlife Smuggling Bust: Parrots, Cockatiels, Deer Antler Seized, Three Arrested - The Times of India","<a href=""https://news.google.com/rss/articles/CBMi8wFBVV95cUxNRVNQeWdLbXhvYmFGMVJ2cUd6QUxBQW1wdVBaSzNRcHZKV25WVDdieU5weDZKU25fVmxrMnJXWHJCbk94cjRSTE1XcFFaUlFsWXRGVzRjRzZ2QVd4ZERyMUN0VWtscWpGS1JSN043WExDUXFsOWhDMjN2eUdpdGdhWlVYUmQ1bjdjTHJKaERIWTIzeENSUjUzSjBKblQxUkFqdjlVTHlqUzZYZ242WFYyeVBMWlc2MXNlWTdhdXR5MkJZdDhOSHA1ME5qMkFibFhmZEFKZUZLMHQyZU9FNkUwdWpNNTlGNm8wSHBGZkg2UEN0ZEXSAfgBQVVfeXFMUFJEYkdYMFN6RkpiTXVOT3M2U0ZFeFBrdVNFOFUtXzdVd1hobDd4WnJuczFWVko5VlVXc1FEaXE1T1llTFBiUmVBbE9kVmowNmhIQVp3WlBpUDFBaExKNVJ0QjJLdEtoWUhWa0xzd21adXI1Z0hNOG1ydjlWVXg5Mmcxb1IxOTVhY1diaGhOUXRIY2k2SnlCRGxGNElGbXJhaGhEc0pXcTFBaVEtcXMtRF9PY0s2Y1B5QWtjTjg2b1dpcVhrcFZDV2duREJNUW5vVVJteTlpeVBOT0VPRFpEbmdVSndwN3I3QnJ6OXAyX3hURVpsX2luYjQ?oc=5"" target=""_blank"">Jamshedpur Wildlife Smuggling Bust: Parrots, Cockatiels, Deer Antler Seized, Three Arrested</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Times of India</font>",https://news.google.com/rss/articles/CBMi8wFBVV95cUxNRVNQeWdLbXhvYmFGMVJ2cUd6QUxBQW1wdVBaSzNRcHZKV25WVDdieU5weDZKU25fVmxrMnJXWHJCbk94cjRSTE1XcFFaUlFsWXRGVzRjRzZ2QVd4ZERyMUN0VWtscWpGS1JSN043WExDUXFsOWhDMjN2eUdpdGdhWlVYUmQ1bjdjTHJKaERIWTIzeENSUjUzSjBKblQxUkFqdjlVTHlqUzZYZ242WFYyeVBMWlc2MXNlWTdhdXR5MkJZdDhOSHA1ME5qMkFibFhmZEFKZUZLMHQyZU9FNkUwdWpNNTlGNm8wSHBGZkg2UEN0ZEXSAfgBQVVfeXFMUFJEYkdYMFN6RkpiTXVOT3M2U0ZFeFBrdVNFOFUtXzdVd1hobDd4WnJuczFWVko5VlVXc1FEaXE1T1llTFBiUmVBbE9kVmowNmhIQVp3WlBpUDFBaExKNVJ0QjJLdEtoWUhWa0xzd21adXI1Z0hNOG1ydjlWVXg5Mmcxb1IxOTVhY1diaGhOUXRIY2k2SnlCRGxGNElGbXJhaGhEc0pXcTFBaVEtcXMtRF9PY0s2Y1B5QWtjTjg2b1dpcVhrcFZDV2duREJNUW5vVVJteTlpeVBOT0VPRFpEbmdVSndwN3I3QnJ6OXAyX3hURVpsX2luYjQ?oc=5,india,['india'],[],Smuggling,68.53,65.68,0,0,63.69,HIGH,UNIQUE,SMU-IND-20260508,5923427894181957673
WCI-D9CFBB7E,2026-05-08 23:37:51.908743,en,Shift of wildlife trafficking to the North East–Myanmar corridor - INSIGHTS IAS,"<a href=""https://news.google.com/rss/articles/CBMirAFBVV95cUxNb2RJSWlsblFITGRxdzhLX1dncHJKUG52OUdZWWtIYzNUYjZDbFA3Ui14Nnp6Q082aDJmcnJDYnJubHR4azZVQURXT0UtSDZNNlZObTk5NWZLWnNySktLOGVrLXRwbkMwYk15cmtEYUctcVcxZGEtR3ZyNFgyUUFSSVU1T3Z6cS1peWQ3NDM3RzZKVk1kUmlZY1VvZ1pZRk5lN2JUXzQ4Q0N3cDdt?oc=5"" target=""_blank"">Shift of wildlife trafficking to the North East–Myanmar corridor</a>&nbsp;&nbsp;<font color=""#6f6f6f"">INSIGHTS IAS</font>",https://news.google.com/rss/articles/CBMirAFBVV95cUxNb2RJSWlsblFITGRxdzhLX1dncHJKUG52OUdZWWtIYzNUYjZDbFA3Ui14Nnp6Q082aDJmcnJDYnJubHR4azZVQURXT0UtSDZNNlZObTk5NWZLWnNySktLOGVrLXRwbkMwYk15cmtEYUctcVcxZGEtR3ZyNFgyUUFSSVU1T3Z6cS1peWQ3NDM3RzZKVk1kUmlZY1VvZ1pZRk5lN2JUXzQ4Q0N3cDdt?oc=5,north east,"['north east', 'myanmar']",[],Trafficking,58.21,74.97,0,0,60.6,HIGH,UNIQUE,TRA-NOR-20260508,-5515841349678059380
WCI-EE3AC31B,2026-05-08 23:38:06.304894,en,"61 arrested in tri-state wildlife crime crackdown as forest teams seize pangolin scales, skins - Telegraph India","<a href=""https://news.google.com/rss/articles/CBMi2gFBVV95cUxQdXBKQVVzTnhEWUZYSjlkWERtbTh1OTAtdzI4aEpja2xJOG5pV1BtR2VOd0g2NmNLcXVsNTVUTE5ISjN3MVJjVXJIR3c3c28xclF6cXJWbU5jdGVZaWxCZVFlN1dSTFRtLVBZYXA0NUFkbk1Ia2hiM19oVlp4SzhZVDZRZG52VjZsTV9RMEYtcGw5YjJtTWlyT3NYMWVSVW92MkNHeS1KUEVvcXBPVnJrUmxTZy1mdFJFWDQ5akIwTENfZkhMc0s4S1lhb1JZNHhqc3g4X1RGWG9fd9IB3wFBVV95cUxNbW5SN1V6TW8xYks2cW1WVzM2RThTU1Z2SjVaQWdsQlYzdE9mNUlVeGVXaUJnNGVGd3AtUXllbnVlV1NOZXdTaU1rS0N2bU4wckp1a3IzZ3VXVnFJUnJ4U3dUcmhDSGVhODU4Q3h6dWxLbk1JR3dLUUFrX2p6RzN1Y1pJX3BYWExQaVN6cHNDQ0Rxd1YzTnN3LUFPRjFGcW9UWGVnNVc3NWx6bGNOTGNaSmdaS2JLZUg0Vmg3T0Z4TjZiVG1jOTR0a19LZ3U4MUh4T0c3dEFkMmFORFJ0Nm1j?oc=5"" target=""_blank"">61 arrested in tri-state wildlife crime crackdown as forest teams seize pangolin scales, skins</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Telegraph India</font>",https://news.google.com/rss/articles/CBMi2gFBVV95cUxQdXBKQVVzTnhEWUZYSjlkWERtbTh1OTAtdzI4aEpja2xJOG5pV1BtR2VOd0g2NmNLcXVsNTVUTE5ISjN3MVJjVXJIR3c3c28xclF6cXJWbU5jdGVZaWxCZVFlN1dSTFRtLVBZYXA0NUFkbk1Ia2hiM19oVlp4SzhZVDZRZG52VjZsTV9RMEYtcGw5YjJtTWlyT3NYMWVSVW92MkNHeS1KUEVvcXBPVnJrUmxTZy1mdFJFWDQ5akIwTENfZkhMc0s4S1lhb1JZNHhqc3g4X1RGWG9fd9IB3wFBVV95cUxNbW5SN1V6TW8xYks2cW1WVzM2RThTU1Z2SjVaQWdsQlYzdE9mNUlVeGVXaUJnNGVGd3AtUXllbnVlV1NOZXdTaU1rS0N2bU4wckp1a3IzZ3VXVnFJUnJ4U3dUcmhDSGVhODU4Q3h6dWxLbk1JR3dLUUFrX2p6RzN1Y1pJX3BYWExQaVN6cHNDQ0Rxd1YzTnN3LUFPRjFGcW9UWGVnNVc3NWx6bGNOTGNaSmdaS2JLZUg0Vmg3T0Z4TjZiVG1jOTR0a19LZ3U4MUh4T0c3dEFkMmFORFJ0Nm1j?oc=5,india,"['india', 'arrested in tri-state wildlife crime crackdown as forest teams seize pangolin scales, skins telegraph india arrested in tri-state wildlife crime crackdown as forest teams seize pangolin scales, skins nbsp; telegraph india']",[],Wildlife Crime,74.06,71.94,0,0,76.61,HIGH,UNIQUE,WIL-IND-20260508,6604917367863648898
WCI-006B9920,2026-05-08 23:38:27.681060,en,"Palamu Tiger Reserve Seizes 60kg Pangolin Scales, Busts Wildlife Crime Network Across States - The Times of India","<a href=""https://news.google.com/rss/articles/CBMi-AFBVV95cUxQVXpJTFR4SFpyczNpR3RQanlTYWxLbk5OTGFoMW1pNEtwSFJVaEVtblFaUUhMQkxiRi1oMWZWVTNKTFhSSFUxQVBxUG5qcGZvZWluZGhTazlfS2hMMGhFUDNWU0h3UVRkLTgzRTNVNUJZTW5xZDRUME1oQmJ1SWd4dkNyM3RacGh6YjFtLU5hNTBfNm5RWnhVOGlMRC1JVUlpaG1RZzhGOHV6R0tNT2h4dXk1Y01OcXZQMm9yRWdaYnNnaThIbFYtX2pRakl4ejlIUTRoVXNMSmMwZ3lHLTFNSzFCcDV0UDhxVGhZU1pzNFI4MjBnN3NobNIB_gFBVV95cUxOSExOSDU4R3ZSNFhWUHpKa0FtTDdYTGRWZUxHX2FKUU11WnRDY2d2dkY1aDZ1eDZ5STRLRk9sUnY1ZFRwMUo4ZjVTdU1hbjlNUy1hNEdRTG9scnVBY0RhQ3RNa2hsd0F3UXN6RTRkODNiRHNvb1lZMEZackZ3Uml0enB1c0JMVERnOGdnRjg5a04xZzlaZGNOUDN0eENyQVZXNUZuWGpXODA5enc2bm5RSlRZczZ5amJ6Vzloa3dwNWtFaFlKQ2NHeEdoNFVXazZlcndBZFB4cGE5eWM3S09rQkNOT3N2U1BwQ2NGNUpsUnJLVmszcnc1blQwRDM0dw?oc=5"" target=""_blank"">Palamu Tiger Reserve Seizes 60kg Pangolin Scales, Busts Wildlife Crime Network Across States</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Times of India</font>",https://news.google.com/rss/articles/CBMi-AFBVV95cUxQVXpJTFR4SFpyczNpR3RQanlTYWxLbk5OTGFoMW1pNEtwSFJVaEVtblFaUUhMQkxiRi1oMWZWVTNKTFhSSFUxQVBxUG5qcGZvZWluZGhTazlfS2hMMGhFUDNWU0h3UVRkLTgzRTNVNUJZTW5xZDRUME1oQmJ1SWd4dkNyM3RacGh6YjFtLU5hNTBfNm5RWnhVOGlMRC1JVUlpaG1RZzhGOHV6R0tNT2h4dXk1Y01OcXZQMm9yRWdaYnNnaThIbFYtX2pRakl4ejlIUTRoVXNMSmMwZ3lHLTFNSzFCcDV0UDhxVGhZU1pzNFI4MjBnN3NobNIB_gFBVV95cUxOSExOSDU4R3ZSNFhWUHpKa0FtTDdYTGRWZUxHX2FKUU11WnRDY2d2dkY1aDZ1eDZ5STRLRk9sUnY1ZFRwMUo4ZjVTdU1hbjlNUy1hNEdRTG9scnVBY0RhQ3RNa2hsd0F3UXN6RTRkODNiRHNvb1lZMEZackZ3Uml0enB1c0JMVERnOGdnRjg5a04xZzlaZGNOUDN0eENyQVZXNUZuWGpXODA5enc2bm5RSlRZczZ5amJ6Vzloa3dwNWtFaFlKQ2NHeEdoNFVXazZlcndBZFB4cGE5eWM3S09rQkNOT3N2U1BwQ2NGNUpsUnJLVmszcnc1blQwRDM0dw?oc=5,india,"['india', 'palamu tiger reserve seizes kg pangolin scales, busts wildlife crime network across states the times of india palamu tiger reserve seizes kg pangolin scales, busts wildlife crime network across states nbsp; the times of india']",[],Wildlife Crime,83.02,54.03,0,0,70.72,HIGH,UNIQUE,WIL-IND-20260508,8027157855157794068
WCI-4DDA3A34,2026-05-08 23:38:33.005045,en,Woman wanted by Interpol for trafficking tiger parts arrested in India - BBC,"<a href=""https://news.google.com/rss/articles/CBMiWkFVX3lxTFBVbFlDRlVYYVJKS0JPQ2REUnJUd2hvNkVCUDFPMnRod29CZFVGZmQyRzZ4bHNGSzhXdjdMYkJ4Um53bEhmb0ZkN1RyTU02VjVOcUhhV0dOclNxZw?oc=5"" target=""_blank"">Woman wanted by Interpol for trafficking tiger parts arrested in India</a>&nbsp;&nbsp;<font color=""#6f6f6f"">BBC</font>",https://news.google.com/rss/articles/CBMiWkFVX3lxTFBVbFlDRlVYYVJKS0JPQ2REUnJUd2hvNkVCUDFPMnRod29CZFVGZmQyRzZ4bHNGSzhXdjdMYkJ4Um53bEhmb0ZkN1RyTU02VjVOcUhhV0dOclNxZw?oc=5,india,['india'],[],Trafficking,74.89,45.46,0,0,64.08,HIGH,UNIQUE,TRA-IND-20260508,-8204196094360852188
WCI-82C22787,2026-05-08 23:38:50.309734,en,Animal Trafficking Reaches Record High In 2025: Interpol - NDTV,"<a href=""https://news.google.com/rss/articles/CBMimwFBVV95cUxOYW1pcWlRT1dMamlLalRjcndhQ3FPMUNmWURWS0pWbDRvdVhLWEsyQmVIUy02NTF2QUwyTjZVZDhsd0VmaEt3bmpyUnREWkN3Q0RLTjRaYTZiaWdRS2U4OGo3LUFJUWp2VDl4SnZXc0J3UUJEdWtEdUxKc2RTUXFFT1JPWG90emtOX0UzTEFudC0tWjVVemEwaGZ1RdIBowFBVV95cUxPQ0Z2UXh5UzN1SzN6QXpZSjRzMVFvRWJBeHZUdlpDNnVrbElUd01YUHU2dll5c0NEdjBuTEhQUmJodXM0SEJwLUZpUHNpOGJQdk0tMEV5ZzJhQjV2VXhyeVN6NlZqZGg3ZGplSEJhTkM0bU9vaGhGMHBKcFR2bXp2a1dhVzR1clVuQko0dnZIbWNTaEZ5NEZ1RUpWVndiYXk4dE9V?oc=5"" target=""_blank"">Animal Trafficking Reaches Record High In 2025: Interpol</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NDTV</font>",https://news.google.com/rss/articles/CBMimwFBVV95cUxOYW1pcWlRT1dMamlLalRjcndhQ3FPMUNmWURWS0pWbDRvdVhLWEsyQmVIUy02NTF2QUwyTjZVZDhsd0VmaEt3bmpyUnREWkN3Q0RLTjRaYTZiaWdRS2U4OGo3LUFJUWp2VDl4SnZXc0J3UUJEdWtEdUxKc2RTUXFFT1JPWG90emtOX0UzTEFudC0tWjVVemEwaGZ1RdIBowFBVV95cUxPQ0Z2UXh5UzN1SzN6QXpZSjRzMVFvRWJBeHZUdlpDNnVrbElUd01YUHU2dll5c0NEdjBuTEhQUmJodXM0SEJwLUZpUHNpOGJQdk0tMEV5ZzJhQjV2VXhyeVN6NlZqZGg3ZGplSEJhTkM0bU9vaGhGMHBKcFR2bXp2a1dhVzR1clVuQko0dnZIbWNTaEZ5NEZ1RUpWVndiYXk4dE9V?oc=5,Unknown,[],[],Trafficking,70.39,65.89,0,0,68.96,HIGH,UNIQUE,TRA-UNK-20260508,-7391846704034728265
WCI-9B5D29FE,2026-05-08 23:38:56.122695,en,Decade-old case gets fresh life as woman at centre of India’s biggest wildlife trafficking operation is arrested - The Indian Express,"<a href=""https://news.google.com/rss/articles/CBMi8wFBVV95cUxOZndDdVM0X0VYZWNyUnZxcnRodFc2dVYxOUFFMjBCamlZd29KSmF4WnJLM2lONjQwUFhZMVQwbkdBV2Mwb3cyZGxHbV9wSHdxRlI1Q21BeHNWbEtFSnhYME1VampSZGU1dS13Vl8xcWpfc1pDZjBQWVZGV2NUemJ5UDZSQVhzcDFBQXZHeUV0VnYxOHZrTktDWXU2bUJaZjZ2dHB5VUlZb2tFNVdscGJKWm5EaHNhTE93T2tOTVNxQklLZmpGNjJJdVFKemV3alM4dkJ5LTB4aWsweHc5UXJKSTdoekhQUk1uUVZGS0tHVFZxc2fSAfoBQVVfeXFMTmFvN2hQMUZudWFRN1prZWhneGdpVnRBUVJNMk1IZ3psUk10bmVPWW1DMndtbHh2al83czZRdGc0ZDRWYzdvMjZCenlEZ2ZSZk9HUGlzTFFwelJJbnFwN1RFc2dIVmRiSkx3Wl9LMWpXZE1LUjhnS2VzQnZVNmJjdk9xaDVjLVBrSk1HaU5oUEc2YXFxU2toYW1aeWpmTUhKRXVGWUpndUdNTW9JaVJSMHpaa2t2RjVLUktLNFVQbzEtUFJDbEZEekR2UTFsUm9GM0ZRVXN3TTJxOHhOSXZVUUdCWjJ0d1p4NEFFeVhuLUM2WVVtTmZ2Y3dWUQ?oc=5"" target=""_blank"">Decade-old case gets fresh life as woman at centre of India’s biggest wildlife trafficking operation is arrested</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Indian Express</font>",https://news.google.com/rss/articles/CBMi8wFBVV95cUxOZndDdVM0X0VYZWNyUnZxcnRodFc2dVYxOUFFMjBCamlZd29KSmF4WnJLM2lONjQwUFhZMVQwbkdBV2Mwb3cyZGxHbV9wSHdxRlI1Q21BeHNWbEtFSnhYME1VampSZGU1dS13Vl8xcWpfc1pDZjBQWVZGV2NUemJ5UDZSQVhzcDFBQXZHeUV0VnYxOHZrTktDWXU2bUJaZjZ2dHB5VUlZb2tFNVdscGJKWm5EaHNhTE93T2tOTVNxQklLZmpGNjJJdVFKemV3alM4dkJ5LTB4aWsweHc5UXJKSTdoekhQUk1uUVZGS0tHVFZxc2fSAfoBQVVfeXFMTmFvN2hQMUZudWFRN1prZWhneGdpVnRBUVJNMk1IZ3psUk10bmVPWW1DMndtbHh2al83czZRdGc0ZDRWYzdvMjZCenlEZ2ZSZk9HUGlzTFFwelJJbnFwN1RFc2dIVmRiSkx3Wl9LMWpXZE1LUjhnS2VzQnZVNmJjdk9xaDVjLVBrSk1HaU5oUEc2YXFxU2toYW1aeWpmTUhKRXVGWUpndUdNTW9JaVJSMHpaa2t2RjVLUktLNFVQbzEtUFJDbEZEekR2UTFsUm9GM0ZRVXN3TTJxOHhOSXZVUUdCWjJ0d1p4NEFFeVhuLUM2WVVtTmZ2Y3dWUQ?oc=5,india,['india'],[],Trafficking,63.2,44.88,0,0,62.06,HIGH,UNIQUE,TRA-IND-20260508,-7487240909541922780
WCI-39832230,2026-05-08 23:39:16.008221,en,"Major wildlife trafficking haul in Assam–Nagaland border, one arrested - India Today NE","<a href=""https://news.google.com/rss/articles/CBMixwFBVV95cUxPakNrYktWWEgxZ1dwVlBUMEc5czRfeU1SUjR0Z1lQT1dRTUtJRkVFTEdJLVhxdnpaZGl6dmtiQXNjaExDT2JwTDYyQjJ1d2o5SC1aU0VFSFB6bDh1cDN3ZVNXSklNYVhQVEpXYkRxZDVjaVo1eGdwVTc5YUR2OXFlaHE5RE41N2JyMXhNNC13RmU1RWpqcnMzc1RnVU5kU2JjaUp0cWxORTI3S3k5LW15aVpvMjhYRUpqWk5Xa2hYamRoU2JVU3U40gHMAUFVX3lxTE50M2pWN2FpUUdvV1p1bGhZRVAxMjJvSTdIX1BnNHhDb1FMREhKSWF6am13T2lXSnpkYUlvLVV6bzhEQlBjb3hfVUc3RjROQU9jYnlXU2dNaERWWml6WjkzU2JsVHBscnpuYU5wNUZ1MWVNMi04dUxwbnZrVGVIZmV6TEJOdVpCNHdZem1YLXdFWVI4cUZaRkQ5RDBzaFFzejBZa1VoaEZUOWZaV1lWeUFMWnk0Q0twQVFXZVBETE5MSHFxYVNCcmdkclBoWQ?oc=5"" target=""_blank"">Major wildlife trafficking haul in Assam–Nagaland border, one arrested</a>&nbsp;&nbsp;<font color=""#6f6f6f"">India Today NE</font>",https://news.google.com/rss/articles/CBMixwFBVV95cUxPakNrYktWWEgxZ1dwVlBUMEc5czRfeU1SUjR0Z1lQT1dRTUtJRkVFTEdJLVhxdnpaZGl6dmtiQXNjaExDT2JwTDYyQjJ1d2o5SC1aU0VFSFB6bDh1cDN3ZVNXSklNYVhQVEpXYkRxZDVjaVo1eGdwVTc5YUR2OXFlaHE5RE41N2JyMXhNNC13RmU1RWpqcnMzc1RnVU5kU2JjaUp0cWxORTI3S3k5LW15aVpvMjhYRUpqWk5Xa2hYamRoU2JVU3U40gHMAUFVX3lxTE50M2pWN2FpUUdvV1p1bGhZRVAxMjJvSTdIX1BnNHhDb1FMREhKSWF6am13T2lXSnpkYUlvLVV6bzhEQlBjb3hfVUc3RjROQU9jYnlXU2dNaERWWml6WjkzU2JsVHBscnpuYU5wNUZ1MWVNMi04dUxwbnZrVGVIZmV6TEJOdVpCNHdZem1YLXdFWVI4cUZaRkQ5RDBzaFFzejBZa1VoaEZUOWZaV1lWeUFMWnk0Q0twQVFXZVBETE5MSHFxYVNCcmdkclBoWQ?oc=5,india,"['india', 'assam', 'nagaland']",[],Trafficking,56.94,66.26,0,0,61.35,HIGH,UNIQUE,TRA-IND-20260508,6098175680858992088
